 sex row_number liters_drunk age drink check_number label
0 Ж  -2 77 Bugbeer 9774 1
5021 Ж  0 31 Bugbeer 9383 0
5022 ж 1.0 2 56 Water 7146 1
5023 M 90.0 4 72 Bugbeer 9432 0
5024 Ж 20.0 0 31 Water 2778 1
5025 Ж 94.0 1 71 "Strong beer" 6358 0
5026 Ж 45.0 1 21 Cola 1338 0
5027 M 86.0 2 37 Fanta 4489 1
5028 "Не указан" 87.0 3 24 Bugbeer 7606 1
5029 м 49.0 2 28 Cola 7776 1
5030 ж 87.0 0 53 Cola 3221 1
5031 - 46.0 1 41 Bugbeer 3110 1
5032 M 8.0 3 52 Water 8488 0
5033 M 50.0 1 16 Fanta 4611 1
5034 Ж 67.0 0 19 Fanta 8154 1
5035 "Не указан" 94.0 2 73 Bugbeer 9740 0
5036 - 76.0 4 48 Cola 1777 0
5037 м 86.0 4 55 Water 6629 0
5038 Ж 25.0 0 75 Fanta 8640 1
5039 м 27.0 0 61 Beerbeer 6457 1
5040 м 4.0 5 51 Bugbeer 1089 1
5041 м 78.0 0 78 Beerbeer 3357 0
5042 ж 15.0 0 24 Cola 3227 0
5043 ж 91.0 4 23 Beerbeer 9068 1
5044 M 98.0 1 46 Cola 8672 1
5045 ж 100.0 1 28 Fanta 2112 0
5046 ж 27.0 4 47 Cola 1825 1
5047 м 25.0 1 32 "Strong beer" 9511 1
5048 "Не указан" 3.0 2 43 Water 5560 0
5049 - 41.0 0 27 Fanta 2435 1
5050 ж  3 66 Bugbeer 1449 0
5051 - 73.0 3 51 "Strong beer" 1774 1
5052 "Не указан" 39.0 1 76 "Strong beer" 6228 1
5053 - 41.0 3 57 Beerbeer 5937 0
5054 M 8.0 2 68 Beerbeer 1782 0
5055 ж 80.0 0 12 Water 7859 0
5056 M 90.0 0 70 Fanta 3542 0
5057 M 72.0 5 48 Water 1789 1
5058 - 7.0 0 66 Fanta 9075 0
5059 - 88.0 5 14 Cola 5628 1
5060 Ж 52.0 3 10 Fanta 3353 1
5061 м  2 10 Fanta 1809 1
5062 Ж 52.0 3 14 Water 615 1
5063 ж 61.0 0 18 Cola 6658 0
5064 - 37.0 1 64 Fanta 7857 0
5065 м 11.0 1 69 Beerbeer 1253 0
5066 M 83.0 1 43 Water 5055 1
5067 Ж 51.0 2 78 Water 7728 1
5068 м 59.0 2 38 Water 5501 1
5069 "Не указан" 63.0 3 19 Fanta 3915 0
5070 Ж 32.0 2 58 Cola 8895 0
5071 Ж 43.0 4 32 Bugbeer 394 1
5072 - 63.0 2 58 Beerbeer 4401 0
5073 Ж 59.0 0 30 Cola 8976 0
5074 - 38.0 -4 22 "Strong beer" 3777 0
5075 м 38.0 1 40 "Strong beer" 7424 1
5076 м 88.0 67730277 12 Fanta 92 1
5077 "Не указан" 43.0 0 35 Water 1374 1
5078 ж 82.0 5 23 Cola 8673 1
5079 Ж 66.0 1 13 Fanta 801 1
5080 "Не указан" 22.0 0 31 Beerbeer 621 0
5081 - 22.0 4 48 Bugbeer 2457 1
5082 - 41.0 2 44 Water 9743 1
5083 м 2.0 2 14 Fanta 8688 1
5084 "Не указан" 42.0 0 20 Water 3400 1
5085 M 79.0 4 43 Bugbeer 4438 1
5086 M 50.0 5 61 "Strong beer" 283 0
5087 м 70.0 1 22 Fanta 2793 1
5088 Ж 39.0 3 29 Beerbeer 9955 1
5089 - 37.0 0 61 Cola 7121 0
5090 Ж 45.0 5 60 Cola 7370 1
5091 "Не указан" 70.0 3 75 Water 8003 0
5092 M 99.0 4 22 Cola 2756 0
5093 Ж 7.0 3 52 Fanta 4195 0
5094 ж 40.0 4 55 "Strong beer" 3348 0
5095 "Не указан" 53.0 4 28 Fanta 3451 1
5096 Ж 54.0 2 72 Water 268 1
5097 M 58.0 1 20 Cola 2539 0
5098 ж 42.0 2 69 Bugbeer 7291 1
5099 Ж 33.0 4 77 Water 1226 1
5100 Ж 87.0 1 62 Bugbeer 1445 1
5101 "Не указан" 86.0 2 80 Cola 633 0
5102 "Не указан" 70.0 5 39 Water 533 0
5103 Ж 62.0 2 41 Bugbeer 3404 0
5104 м 32.0 0 13 Water 6189 1
5105 Ж 11.0 5 30 Bugbeer 628 1
5106 м 42.0 0 33 Bugbeer 1649 0
5107 "Не указан" 44.0 0 51 Beerbeer 6387 1
5108 - 43.0 0 29 Cola 9834 1
5109 M 8.0 0 62 Cola 1868 0
5110 Ж 76.0 4 58 Fanta 9869 0
5111 ж 40.0 5 13 Fanta 8090 1
5112 м  1 57 Water 5940 0
5113 ж 78.0 2 70 Beerbeer 1297 0
5114 M 89.0 2 76 "Strong beer" 2572 0
5115 ж 73.0 1 19 Fanta 2860 0
5116 ж 58.0 5 57 Fanta 8322 0
5117 ж 26.0 71059484 57 Bugbeer 3918 1
5118 "Не указан" 60.0 3 23 Fanta 4027 0
5119 M 71.0 0 51 Beerbeer 7061 1
5120 M 75.0 0 50 "Strong beer" 6897 1
5121 м 80.0 3 73 "Strong beer" 8452 1
5122 ж 6.0 0 78 "Strong beer" 777 0
5123 M 8.0 3 40 Beerbeer 1200 1
5124 ж 28.0 1 50 "Strong beer" 6672 0
5125 - 69.0 2 68 Water 1310 1
5126 м 26.0 2 76 Water 6890 0
5127 ж 37.0 0 28 Beerbeer 8714 0
5128 м 77.0 3 40 Fanta 2506 1
5129 ж 24.0 5 42 Water 6963 1
5130 M 74.0 2 25 Cola 4818 1
5131 "Не указан" 82.0 93729757 32 Beerbeer 4236 0
5132 м 57.0 2 16 Fanta 8663 0
5133 "Не указан" 14.0 0 78 Bugbeer 7432 1
5134 ж 8.0 2 56 Bugbeer 7830 1
5135 M 83.0 3 23 Cola 295 1
5136 - 13.0 2 59 Bugbeer 7979 0
5137 ж 76.0 0 56 Water 9612 1
5138 "Не указан" 23.0 2 70 "Strong beer" 7063 0
5139 Ж 6.0 -1 42 Fanta 3317 1
5140 "Не указан" 5.0 4 73 Bugbeer 2291 0
5141 м 26.0 1 63 Water 9531 1
5142 ж 94.0 2 26 Cola 6057 0
5143 "Не указан" 42.0 1 26 Fanta 3795 1
5144 ж 68.0 1 54 Bugbeer 4574 1
5145 м 40.0 3 13 Fanta 752 0
5146 Ж 11.0 2 15 Cola 8527 1
5147 "Не указан" 57.0 1 58 Water 3882 0
5148 ж  5 51 Beerbeer 6431 1
5149 Ж 60.0 4 21 Cola 3712 1
5150 "Не указан" 8.0 5 61 Cola 4757 1
5151 Ж 97.0 -5 39 "Strong beer" 8429 1
5152 M 44.0 0 23 Bugbeer 2427 0
5153 ж 78.0 5 57 Beerbeer 2956 0
5154 M 98.0 -2 55 Fanta 9020 1
5155 ж 79.0 2 35 Water 5880 1
5156 ж 61.0 0 67 Water 1839 1
5157 м 80.0 5 38 Water 2104 1
5158 "Не указан" 51.0 5 30 Water 9465 1
5159 M 12.0 3 24 Water 8949 0
5160 м 19.0 3 48 Fanta 1321 1
5161 ж 2.0 1 60 Cola 1281 0
5162 м 53.0 2 18 Fanta 4802 1
5163 Ж 20.0 3 62 Cola 6730 0
5164 Ж 29.0 3 16 Cola 5946 0
5165 M 39.0 4 70 Beerbeer 9394 1
5166 M 25.0 12889963 77 Bugbeer 7676 0
5167 Ж 97.0 4 42 "Strong beer" 8304 1
5168 ж 82.0 2 53 Beerbeer 808 1
5169 Ж 41.0 2 19 Water 5154 0
5170 - 19.0 5 70 Cola 5949 0
5171 M 33.0 0 60 Cola 1647 0
5172 м 14.0 4 12 Cola 1124 1
5173 м 45.0 1 72 Fanta 3174 1
5174 -  3 19 Cola 4662 0
5175 м 48.0 0 51 Water 6716 1
5176 M 71.0 16631613 32 Fanta 1516 1
5177 м 60.0 1 62 Fanta 7128 0
5178 м 4.0 4 38 Water 8095 1
5179 M 63.0 1 40 Beerbeer 10 1
5180 м 83.0 5 69 Water 8664 0
5181 M 92.0 3 78 "Strong beer" 6388 1
5182 -  48367635 22 "Strong beer" 2699 1
5183 Ж 8.0 3 26 Bugbeer 5209 0
5184 м 85.0 85309545 44 Beerbeer 926 0
5185 - 25.0 1 12 Cola 6696 0
5186 Ж 60.0 3 21 Bugbeer 9756 0
5187 ж 53.0 5 73 Fanta 3970 1
5188 "Не указан" 56.0 3 75 Fanta 3425 0
5189 Ж 57.0 4 73 Cola 1229 0
5190 Ж 35.0 0 52 Fanta 8589 0
5191 ж 70.0 2 42 Bugbeer 1575 0
5192 м 95.0 0 61 "Strong beer" 7196 1
5193 ж 73.0 3 22 Beerbeer 4218 1
5194 Ж 62.0 1 75 "Strong beer" 108 0
5195 ж 88.0 3 11 Fanta 7115 0
5196 M 44.0 3 53 Bugbeer 7735 1
5197 Ж 21.0 1 14 Water 5298 0
5198 - 74.0 5 11 Fanta 8650 1
5199 M 14.0 -2 76 Bugbeer 6737 0
5200 Ж 7.0 3 34 Water 4491 1
5201 M 55.0 5 39 "Strong beer" 995 1
5202 ж 63.0 42333538 43 Fanta 8968 1
5203 "Не указан" 62.0 4 63 Beerbeer 9543 0
5204 "Не указан" 4.0 5 19 Water 7826 0
5205 Ж 78.0 42924139 50 Beerbeer 6856 1
5206 ж 78.0 4 69 Cola 4058 0
5207 Ж 59.0 5 42 Bugbeer 2178 1
5208 ж 51.0 4 34 Beerbeer 1493 1
5209 - 81.0 3 25 Beerbeer 2268 1
5210 M 10.0 3 25 "Strong beer" 9737 1
5211 "Не указан" 25.0 5 54 Water 5824 1
5212 м 84.0 -3 22 "Strong beer" 4846 1
5213 M 95.0 4 11 Fanta 3463 1
5214 - 41.0 4 19 Water 9626 0
5215 - 30.0 3 24 Beerbeer 8449 1
5216 м 95.0 2 10 Water 9972 1
5217 ж 48.0 0 24 Water 2984 1
5218 Ж 23.0 5 80 Cola 6231 1
5219 м 44.0 3 22 Beerbeer 2891 1
5220 м 81.0 2 46 Beerbeer 9495 0
5221 ж 62.0 1 28 Bugbeer 6843 1
5222 - 7.0 2 43 Fanta 8442 0
5223 ж 50.0 4 78 Beerbeer 5217 0
5224 -  5 67 Bugbeer 6202 1
5225 M 98.0 1 44 Bugbeer 8583 0
5226 м 37.0 0 69 Cola 1793 0
5227 "Не указан" 34.0 3 13 Cola 1797 0
5228 "Не указан" 98.0 2 66 Cola 28 0
5229 Ж 50.0 5 14 Cola 1549 1
5230 м 24.0 4 68 Beerbeer 9110 0
5231 м 72.0 3 24 Fanta 5693 1
5232 - 21.0 2 79 Bugbeer 4880 0
5233 ж 100.0 2 68 Bugbeer 4689 0
5234 м  2 33 "Strong beer" 1050 1
5235 м 82.0 -6 65 Water 4753 0
5236 "Не указан" 65.0 4 16 Fanta 7935 1
5237 м 99.0 3 76 Beerbeer 9657 0
5238 - 61.0 0 54 Cola 4534 1
5239 Ж 46.0 2 30 Water 4580 0
5240 "Не указан" 70.0 5 49 Cola 3283 1
5241 M 84.0 2 31 Water 3881 1
5242 м 75.0 2 66 Cola 3007 1
5243 M 14.0 2 78 "Strong beer" 9620 0
5244 ж 13.0 0 56 Cola 4809 1
5245 Ж 97.0 1 34 Fanta 6151 0
5246 "Не указан" 13.0 5 78 Water 1967 0
5247 - 64.0 -6 20 Fanta 5816 1
5248 M 21.0 1 49 Water 4878 0
5249 - 16.0 1 63 Beerbeer 1365 1
5250 Ж 18.0 4 39 Beerbeer 9176 1
5251 Ж 52.0 2 34 Bugbeer 1012 0
5252 "Не указан" 23.0 0 59 "Strong beer" 79 1
5253 M 96.0 2 35 Bugbeer 3975 0
5254 Ж 67.0 1 26 Water 744 1
5255 Ж 39.0 2690654 23 Bugbeer 8451 0
5256 м 41.0 5 70 Water 1535 1
5257 "Не указан" 10.0 5 22 Cola 4321 1
5258 - 55.0 2 62 Water 4803 0
5259 ж 41.0 4 61 "Strong beer" 9483 1
5260 Ж 47.0 5 56 Water 1608 0
5261 M 70.0 0 25 Water 1850 1
5262 Ж 98.0 4 45 Fanta 3408 0
5263 Ж 13.0 3 39 Bugbeer 3447 1
5264 м 20.0 3 75 Bugbeer 5230 0
5265 - 96.0 1 54 Cola 1000 0
5266 Ж 52.0 5 47 "Strong beer" 7986 1
5267 M 33.0 2 44 Cola 2167 0
5268 Ж 48.0 3 46 Beerbeer 6783 1
5269 M 76.0 4 52 Beerbeer 8351 1
5270 ж 81.0 1 22 "Strong beer" 3973 1
5271 M 22.0 1 28 Beerbeer 1895 1
5272 ж 6.0 3 55 Bugbeer 4827 0
5273 ж 53.0 1 15 Cola 1040 1
5274 Ж 23.0 4 80 Bugbeer 7033 1
5275 "Не указан"  0 22 Fanta 2201 0
5276 "Не указан" 64.0 0 76 Water 5430 1
5277 M 79.0 76997443 44 Beerbeer 1059 1
5278 "Не указан" 3.0 81925974 21 Water 8199 1
5279 ж 58.0 17951041 34 "Strong beer" 8859 1
5280 "Не указан" 77.0 5 37 "Strong beer" 2202 1
5281 Ж 41.0 -2 38 Fanta 7626 1
5282 Ж 9.0 5 52 Bugbeer 9730 0
5283 Ж 99.0 1 37 "Strong beer" 2857 1
5284 Ж 53.0 2 76 Bugbeer 6586 1
5285 Ж 82.0 5 72 "Strong beer" 8803 1
5286 - 86.0 5 32 Bugbeer 1823 1
5287 Ж 38.0 4 79 Bugbeer 7622 1
5288 ж 94.0 1 30 Fanta 6342 0
5289 Ж 40.0 3 70 Bugbeer 2375 0
5290 M 44.0 5 29 Bugbeer 8565 1
5291 M 60.0 3 54 Cola 5385 1
5292 Ж 94.0 41161814 48 Bugbeer 3325 0
5293 ж 50.0 5 72 "Strong beer" 5913 0
5294 м 66.0 0 77 Water 4484 0
5295 м 69.0 4 46 Beerbeer 5891 1
5296 "Не указан" 69.0 4 39 Beerbeer 6531 1
5297 м 37.0 0 61 Fanta 2550 1
5298 M 43.0 3 72 Beerbeer 5313 1
5299 "Не указан" 64.0 5 68 Cola 1046 1
5300 м 15.0 5 60 Fanta 3854 0
5301 "Не указан" 15.0 0 69 Bugbeer 6497 1
5302 - 13.0 3 65 Beerbeer 7402 0
5303 - 66.0 0 14 Cola 7238 0
5304 Ж 83.0 5 32 Bugbeer 9694 1
5305 M 15.0 3 70 Beerbeer 1279 1
5306 M 2.0 3 27 Bugbeer 1685 1
5307 M 30.0 1 79 Cola 3422 1
5308 ж 42.0 2 65 Water 53 1
5309 -  5 63 Cola 7955 1
5310 - 20.0 0 18 Cola 1301 0
5311 M 28.0 4 60 Cola 1060 0
5312 м 71.0 2 37 Beerbeer 9577 0
5313 м 6.0 4 29 Bugbeer 2985 1
5314 M 24.0 3 45 Water 368 1
5315 M 16.0 2 63 Fanta 7774 1
5316 Ж 75.0 0 62 Beerbeer 4019 1
5317 M 95.0 2 55 Beerbeer 9996 0
5318 - 26.0 4 10 Cola 1098 0
5319 Ж 41.0 1 77 Bugbeer 1979 0
5320 M 60.0 4 58 Water 3967 0
5321 м 58.0 0 36 Beerbeer 2646 0
5322 - 29.0 2 30 Water 9708 1
5323 - 83.0 62831796 63 "Strong beer" 2561 0
5324 ж 57.0 0 31 Water 9446 1
5325 м 1.0 0 43 "Strong beer" 3832 1
5326 M 14.0 4 73 Beerbeer 9487 1
5327 "Не указан" 28.0 2 17 Fanta 2507 0
5328 м 100.0 -4 19 Water 849 1
5329 Ж 62.0 -6 33 Bugbeer 8819 0
5330 M 93.0 4 32 Beerbeer 3347 1
5331 "Не указан" 27.0 1 12 Cola 9384 0
5332 M 28.0 3 69 Water 7442 1
5333 Ж 75.0 2 72 Bugbeer 1527 0
5334 - 61.0 1 36 Bugbeer 5 0
5335 ж 21.0 5 18 Fanta 7262 0
5336 Ж 8.0 1 59 "Strong beer" 7253 0
5337 -  4 70 "Strong beer" 5550 0
5338 - 53.0 1 45 Bugbeer 9682 0
5339 - 32.0 1 70 Cola 614 0
5340 м 27.0 4 67 "Strong beer" 3947 1
5341 ж 74.0 0 12 Fanta 9007 0
5342 M 8.0 0 76 "Strong beer" 5806 1
5343 - 72.0 5 29 Fanta 1102 1
5344 м 78.0 5 73 Fanta 3499 0
5345 м 8.0 2 26 Cola 1447 0
5346 - 79.0 5 66 Fanta 8630 1
5347 Ж 27.0 1 74 Bugbeer 3093 1
5348 ж 13.0 0 21 Cola 606 0
5349 "Не указан" 90.0 3 77 Water 3345 0
5350 Ж 55.0 1 65 Fanta 7003 0
5351 M 83.0 3 48 Fanta 8281 0
5352 M 16.0 4 70 Bugbeer 2487 0
5353 M 3.0 3 58 Beerbeer 9931 0
5354 M 46.0 11830653 10 Water 526 0
5355 Ж 79.0 3 75 Cola 1553 0
5356 - 69.0 0 48 Water 735 0
5357 Ж 69.0 5 74 "Strong beer" 2538 0
5358 - 97.0 4 23 Beerbeer 1336 1
5359 м 100.0 5 76 Water 4078 1
5360 м 6.0 5 13 Water 4499 1
5361 Ж 49.0 4 41 Water 1730 1
5362 - 86.0 0 23 "Strong beer" 3202 0
5363 M  5 25 Cola 40 1
5364 "Не указан" 10.0 3 52 Cola 2181 1
5365 -  3 14 Cola 868 1
5366 "Не указан" 60.0 1 36 Cola 9674 1
5367 M 88.0 4 42 Beerbeer 7101 1
5368 "Не указан" 73.0 4 40 Cola 8034 1
5369 м 61.0 1 80 Beerbeer 7136 1
5370 ж 60.0 1 26 "Strong beer" 1047 0
5371 м 23.0 5 24 Cola 6068 1
5372 Ж  2 10 Water 852 0
5373 м 5.0 3 59 Beerbeer 4791 1
5374 M 79.0 3 26 Beerbeer 6791 1
5375 м 29.0 4 62 Fanta 6983 1
5376 ж 95.0 3 22 Bugbeer 2566 1
5377 "Не указан" 77.0 4 63 Bugbeer 8590 0
5378 "Не указан" 19.0 0 67 "Strong beer" 1283 0
5379 ж 49.0 2 43 Cola 5679 0
5380 м 12.0 4 58 Beerbeer 8702 0
5381 "Не указан" 99.0 4 52 Fanta 5669 1
5382 м 32.0 2 32 Fanta 5121 0
5383 - 86.0 1 64 Water 4987 1
5384 ж 35.0 2 29 Bugbeer 3746 1
5385 "Не указан" 91.0 2 30 "Strong beer" 3959 0
5386 Ж  1 18 Cola 9397 1
5387 M 45.0 1 39 Beerbeer 378 0
5388 "Не указан" 37.0 -1 37 "Strong beer" 8818 1
5389 Ж 14.0 1 63 Bugbeer 8051 1
5390 M 84.0 5 74 Cola 9895 1
5391 Ж 3.0 -1 16 Cola 9885 1
5392 м 19.0 4 79 "Strong beer" 6287 0
5393 "Не указан" 97.0 1 33 Beerbeer 2450 1
5394 ж 36.0 0 68 Cola 6413 1
5395 м 64.0 48995029 17 Water 1334 1
5396 м 5.0 0 32 Bugbeer 4585 1
5397 ж 73.0 3 61 Water 4954 1
5398 Ж 35.0 0 27 "Strong beer" 3615 0
5399 "Не указан" 88.0 3 80 Bugbeer 8927 1
5400 ж 1.0 3 59 Bugbeer 2246 1
5401 ж 80.0 0 13 Water 6214 0
5402 ж 14.0 5 39 Cola 1343 1
5403 - 72.0 4 29 Water 291 0
5404 ж 24.0 2 55 Water 8805 0
5405 - 6.0 2 33 Bugbeer 6141 0
5406 "Не указан" 44.0 1 56 "Strong beer" 8670 1
5407 "Не указан" 14.0 1 41 Cola 3344 1
5408 M 61.0 0 75 Beerbeer 8501 1
5409 Ж 70.0 1 52 Fanta 4314 1
5410 ж 72.0 -5 53 Cola 7086 1
5411 "Не указан" 6.0 3 23 Cola 7234 1
5412 "Не указан" 12.0 4 62 "Strong beer" 265 1
5413 "Не указан" 72.0 0 49 Fanta 8230 1
5414 м 26.0 2 73 Cola 6769 1
5415 м 88.0 5 36 Fanta 7595 0
5416 м 62.0 2 37 Water 4121 0
5417 м 94.0 0 77 Bugbeer 2899 0
5418 м 18.0 3 24 "Strong beer" 5132 0
5419 Ж  2 45 Beerbeer 4107 1
5420 - 16.0 3 67 Beerbeer 6428 0
5421 M 57.0 5 28 Bugbeer 7054 1
5422 м 85.0 4 33 Bugbeer 4211 1
5423 "Не указан" 62.0 5 30 Water 3547 0
5424 м 99.0 0 68 Beerbeer 8509 1
5425 "Не указан" 39.0 -1 20 Water 9217 1
5426 Ж 53.0 2 63 Cola 353 0
5427 м 37.0 4 25 Cola 6896 1
5428 - 43.0 -3 62 Fanta 4545 0
5429 м 2.0 -1 44 Beerbeer 7593 1
5430 м 15.0 -2 53 Water 190 0
5431 ж 21.0 3 27 Cola 492 0
5432 - 12.0 -3 53 "Strong beer" 5363 1
5433 м 83.0 0 38 Beerbeer 7247 1
5434 M 66.0 0 22 "Strong beer" 4762 0
5435 - 10.0 1 58 Cola 5850 1
5436 ж 59.0 2 51 Cola 8190 1
5437 - 72.0 5 75 Water 8911 0
5438 Ж 73.0 0 62 Water 8569 1
5439 Ж 47.0 1 69 Water 967 1
5440 м 10.0 3 24 Cola 1484 1
5441 "Не указан" 78.0 2 69 Water 27 0
5442 м 71.0 5 69 Cola 3502 1
5443 ж 75.0 0 72 "Strong beer" 7693 0
5444 M 27.0 4 52 Water 7360 1
5445 ж 21.0 3 41 Water 3311 0
5446 - 8.0 3 46 Beerbeer 5146 1
5447 M 24.0 4 47 "Strong beer" 2315 1
5448 ж 62.0 3 72 Beerbeer 205 0
5449 Ж 31.0 1 77 Bugbeer 4201 0
5450 "Не указан" 91.0 -3 31 Fanta 7887 0
5451 - 57.0 1 55 "Strong beer" 3016 0
5452 - 0.0 0 18 Water 4223 1
5453 Ж 54.0 2 19 Water 5190 1
5454 ж 13.0 3 71 Beerbeer 5245 1
5455 M 80.0 18946449 71 Beerbeer 6601 1
5456 - 17.0 -2 45 Beerbeer 4626 0
5457 Ж 20.0 5 77 Cola 8917 1
5458 "Не указан" 46.0 4 46 Water 1508 1
5459 M 99.0 0 29 Fanta 5248 1
5460 м 100.0 -6 38 "Strong beer" 322 1
5461 Ж 30.0 3 38 Water 5123 1
5462 Ж 35.0 2 58 Beerbeer 7161 0
5463 "Не указан" 57.0 2 47 Bugbeer 2520 1
5464 -  2 26 Bugbeer 1495 1
5465 M 30.0 1 54 Beerbeer 6860 1
5466 м 16.0 3 23 Water 1084 1
5467 ж 78.0 4 34 Water 1167 0
5468 - 90.0 5 13 Fanta 7552 1
5469 ж 9.0 1 55 Beerbeer 1781 1
5470 M 6.0 3 54 Water 5663 1
5471 ж 90.0 4 54 Fanta 1116 0
5472 M 88.0 2 44 Beerbeer 954 0
5473 Ж 86.0 2 39 "Strong beer" 2267 0
5474 Ж 64.0 2 65 Bugbeer 2426 0
5475 M 93.0 4 37 Beerbeer 9934 1
5476 Ж 46.0 0 10 Cola 3705 1
5477 M 55.0 1 56 Water 9325 0
5478 Ж 8.0 0 32 "Strong beer" 6324 0
5479 - 22.0 0 16 Water 3725 1
5480 M 56.0 -1 76 Cola 41 1
5481 Ж 52.0 4 33 Cola 4334 1
5482 "Не указан" 47.0 4 22 Cola 1728 0
5483 M 9.0 2 34 Water 3924 1
5484 "Не указан" 52.0 5 41 Bugbeer 7069 1
5485 - 3.0 1 68 Fanta 7651 0
5486 "Не указан" 50.0 4 35 Fanta 8364 0
5487 Ж 90.0 4 54 Bugbeer 1719 0
5488 - 26.0 5 53 "Strong beer" 9084 1
5489 - 79.0 1 60 Water 4790 0
5490 ж 58.0 3 44 Beerbeer 7993 0
5491 - 24.0 4 30 Cola 9257 1
5492 Ж 60.0 2 58 Fanta 3491 0
5493 - 56.0 89717518 42 Water 2088 0
5494 - 97.0 1 38 "Strong beer" 4714 1
5495 "Не указан" 86.0 3 77 "Strong beer" 681 0
5496 Ж 39.0 1 43 "Strong beer" 4941 0
5497 M  4 56 Fanta 7973 0
5498 м 15.0 0 38 Cola 9036 1
5499 - 92.0 2 54 Water 3754 0
5500 ж 77.0 5 10 Cola 4034 1
5501 Ж 55.0 5 12 Cola 2107 1
5502 Ж 2.0 0 47 Cola 7732 0
5503 - 24.0 4 27 Bugbeer 4748 1
5504 ж 82.0 0 25 "Strong beer" 1243 0
5505 ж 44.0 0 64 Fanta 4076 0
5506 м 65.0 -4 79 Cola 4865 0
5507 - 47.0 3 30 "Strong beer" 1149 1
5508 м 18.0 5 19 Cola 7431 0
5509 M 77.0 5 28 Water 3410 1
5510 -  3 16 Water 2705 0
5511 - 76.0 3 16 Water 5814 0
5512 "Не указан" 7.0 2 78 Bugbeer 7325 1
5513 M 67.0 4 49 Water 8888 0
5514 - 97.0 1 49 Fanta 2724 0
5515 м 48.0 0 77 Bugbeer 3743 1
5516 м 33.0 0 46 Beerbeer 9999 0
5517 ж 19.0 0 35 "Strong beer" 3545 0
5518 ж 96.0 4 42 Cola 8876 1
5519 M 83.0 4 58 Water 3190 0
5520 - 98.0 0 22 "Strong beer" 7865 0
5521 Ж 34.0 1 56 "Strong beer" 882 1
5522 м 70.0 2 20 Cola 4041 1
5523 "Не указан" 18.0 0 21 Beerbeer 9802 0
5524 м 13.0 4 26 "Strong beer" 6137 1
5525 M 86.0 2 79 Cola 9590 1
5526 Ж 69.0 5 68 Water 6071 1
5527 M 39.0 1 63 "Strong beer" 6221 0
5528 Ж 97.0 0 44 Cola 8305 1
5529 Ж 14.0 5 25 Fanta 9070 1
5530 Ж 65.0 0 76 Water 4900 1
5531 - 32.0 0 24 Beerbeer 1027 0
5532 ж 4.0 3 43 Cola 335 1
5533 ж 88.0 3 64 Cola 8680 1
5534 Ж 90.0 4 17 Water 7551 0
5535 Ж  3 36 "Strong beer" 9949 1
5536 ж  4 64 Beerbeer 8288 0
5537 Ж 22.0 3 27 Water 8677 1
5538 Ж 40.0 3 65 Cola 8358 0
5539 Ж 42.0 4 55 Bugbeer 8244 1
5540 ж 85.0 3 75 Bugbeer 5651 1
5541 ж 47.0 3 26 Water 3 1
5542 ж 83.0 2 67 "Strong beer" 2876 1
5543 M 3.0 3 39 Cola 5352 1
5544 ж 100.0 93854972 20 Fanta 3415 1
5545 "Не указан" 11.0 4 29 "Strong beer" 8206 1
5546 - 19.0 2 72 Cola 119 0
5547 Ж 49.0 0 35 Water 3767 1
5548 Ж 33.0 4 20 Water 4972 1
5549 - 95.0 2 62 Cola 5259 0
5550 M 21.0 4 55 Water 9574 0
5551 - 3.0 -2 15 Fanta 2816 1
5552 M 89.0 0 42 Water 9583 0
5553 "Не указан" 46.0 48216931 70 Beerbeer 1765 0
5554 ж 63.0 -1 76 Cola 8468 0
5555 "Не указан" 85.0 5 62 "Strong beer" 9041 0
5556 M 42.0 2 13 Water 4994 1
5557 ж 72.0 3 67 Beerbeer 3092 1
5558 Ж 19.0 2 24 Fanta 1788 1
5559 "Не указан" 29.0 0 35 Cola 9173 1
5560 Ж 34.0 4 66 "Strong beer" 4324 1
5561 - 64.0 4 65 Cola 2675 1
5562 Ж 51.0 0 41 Beerbeer 8185 1
5563 "Не указан" 99.0 3 29 Cola 3783 0
5564 Ж 43.0 3 19 Water 9578 1
5565 - 23.0 3 73 Fanta 359 0
5566 Ж 5.0 2 57 Beerbeer 7772 1
5567 Ж 88.0 18107689 63 "Strong beer" 8202 0
5568 "Не указан" 58.0 3 43 Fanta 1393 1
5569 "Не указан" 99.0 2 24 Beerbeer 1760 0
5570 ж 67.0 3 80 Water 6534 1
5571 "Не указан" 50.0 0 74 Water 2849 0
5572 ж 9.0 2 45 Beerbeer 1220 0
5573 м 20.0 1 36 Fanta 6516 0
5574 - 98.0 0 80 Fanta 3205 0
5575 Ж 100.0 0 76 Beerbeer 7471 1
5576 "Не указан" 8.0 1 39 Fanta 2590 0
5577 "Не указан"  4 44 Beerbeer 5308 1
5578 - 26.0 -6 29 Bugbeer 6663 1
5579 ж 66.0 3 31 Water 3630 0
5580 - 89.0 4 75 Fanta 5826 0
5581 ж 36.0 5 60 Beerbeer 4679 1
5582 - 60.0 3 67 Water 3820 0
5583 - 2.0 2 74 Beerbeer 6248 1
5584 ж 1.0 2 43 Bugbeer 7084 0
5585 "Не указан" 92.0 2 37 Water 398 0
5586 м 4.0 4 57 Water 4274 1
5587 Ж 41.0 1 73 Fanta 4296 1
5588 "Не указан" 19.0 5 54 Cola 5527 1
